county,drop,drop,drop,GDP,drop,drop,drop,drop,drop,
McCone,"98,935","99,025","100,200",82820,47,0.1,1.2,-17.3,56,
Madison,"503,577","548,089","576,350",546777,16,8.8,5.2,-5.1,46,
Meagher,"53,320","65,431","65,223",70393,50,22.7,-0.3,7.9,13,
Mineral,"98,515","116,475","107,335",111031,44,18.2,-7.8,3.4,32,
Missoula,"5,721,496","6,401,268","6,370,148",6623001,3,11.9,-0.5,4.0,29,
Musselshell,"274,247","277,070","381,366",337296,27,1.0,37.6,-11.6,54,
Park,"600,678","687,993","631,159",661029,14,14.5,-8.3,4.7,24,
Petroleum,"12,254","8,792","15,363",17007,56,-28.3,74.8,10.7,10,
Phillips,"130,818","125,021","139,175",129651,41,-4.4,11.3,-6.8,48,
Pondera,"257,830","193,006","251,803",301426,31,-25.1,30.5,19.7,3,
Powder River,"152,526","137,742","120,614",129240,42,-9.7,-12.4,7.2,14,
Powell,"213,046","211,959","226,106",259064,34,-0.5,6.7,14.6,9,
Prairie,"39,804","31,247","41,279",43514,52,-21.5,32.1,5.4,20,
Ravalli,"1,184,086","1,306,482","1,301,388",1347507,8,10.3,-0.4,3.5,30,
Richland,"840,552","827,447","776,539",986153,9,-1.6,-6.2,27.0,1,
Roosevelt,"412,451","437,370","409,656",436153,22,6.0,-6.3,6.5,16,
Rosebud,"694,447","683,112","772,020",758297,13,-1.6,13.0,-1.8,43,
Sanders,"364,869","391,538","375,071",376212,26,7.3,-4.2,0.3,38,
Sheridan,"183,218","185,445","166,292",166278,40,1.2,-10.3,0.0,39,
Silver Bow,"1,504,098","1,610,940","1,610,189",1645474,7,7.1,0.0,2.2,35,
Stillwater,"729,442","767,683","610,806",539528,18,5.2,-20.4,-11.7,55,
Sweet Grass,"269,450","293,331","227,618",208458,37,8.9,-22.4,-8.4,50,
Teton,"269,038","217,413","265,696",293022,32,-19.2,22.2,10.3,11,
Toole,"355,284","281,345","356,539",409543,23,-20.8,26.7,14.9,8,
Treasure,"81,013","44,240","66,162",78837,49,-45.4,49.6,19.2,4,
Valley,"313,302","399,425","338,715",304515,30,27.5,-15.2,-10.1,53,
Wheatland,"87,258","73,698","84,035",79502,48,-15.5,14.0,-5.4,47,
Wibaux,"40,696","47,209","41,122",43450,53,16.0,-12.9,5.7,18,
Yellowstone,"8,735,916","9,389,258","9,573,318",9993308,1,7.5,2.0,4.4,26,
,,,,,,,,,,
Nebraska,"126,734,862","134,939,876","139,440,943",145019622,--,6.5,3.3,4.0,--,
Adams,"1,793,509","1,992,366","2,051,201",2113723,10,11.1,3.0,3.0,77,
Antelope,"583,630","573,293","571,887",642726,30,-1.8,-0.2,12.4,34,
Arthur,"19,256","16,302","12,306",21940,93,-15.3,-24.5,78.3,1,
Banner,"38,319","36,723","33,739",39459,84,-4.2,-8.1,17.0,26,
Blaine,"28,475","22,129","20,183",32659,89,-22.3,-8.8,61.8,3,
Boone,"432,605","463,939","407,643",471551,37,7.2,-12.1,15.7,30,
Box Butte,"559,546","563,516","525,678",506576,36,0.7,-6.7,-3.6,89,
Boyd,"110,434","121,566","117,682",115696,74,10.1,-3.2,-1.7,87,
Brown,"212,671","191,601","161,819",207267,63,-9.9,-15.5,28.1,10,
Buffalo,"3,066,059","3,529,753","3,631,644",3785265,5,15.1,2.9,4.2,70,
Burt,"285,862","338,235","289,683",323323,56,18.3,-14.4,11.6,37,
Butler,"336,078","392,223","387,073",426354,41,16.7,-1.3,10.1,44,
Cass,"770,443","854,440","816,078",866098,19,10.9,-4.5,6.1,60,
Cedar,"426,377","485,219","434,514",468107,39,13.8,-10.4,7.7,51,
Chase,"340,242","341,975","316,393",330167,53,0.5,-7.5,4.4,68,
Cherry,"297,452","277,996","253,103",336749,50,-6.5,-9.0,33.0,9,
Cheyenne,"518,394","522,506","525,413",507054,35,0.8,0.6,-3.5,88,
Clay,"336,866","380,464","318,389",368017,48,12.9,-16.3,15.6,31,
Colfax,"707,750","841,012","784,726",815745,24,18.8,-6.7,4.0,73,
Cuming,"782,504","756,474","670,974",846103,20,-3.3,-11.3,26.1,14,
Custer,"692,235","705,552","652,271",762617,26,1.9,-7.6,16.9,27,
Dakota,"1,487,678","1,726,655","1,846,038",1821446,11,16.1,6.9,-1.3,86,
Dawes,"293,096","288,099","264,038",285030,61,-1.7,-8.4,8.0,50,
Dawson,"1,536,811","1,680,667","1,610,435",1720014,13,9.4,-4.2,6.8,56,
Deuel,"74,034","80,262","98,264",80904,81,8.4,22.4,-17.7,93,
Dixon,"285,916","358,038","353,571",367960,49,25.2,-1.2,4.1,71,
Dodge,"2,104,992","2,310,447","2,325,416",2382098,9,9.8,0.6,2.4,80,
Douglas,"48,179,220","50,435,455","55,545,557",56371635,1,4.7,10.1,1.5,83,
Dundy,"188,046","168,754","164,252",177606,68,-10.3,-2.7,8.1,49,
Fillmore,"357,280","436,826","382,253",424740,42,22.3,-12.5,11.1,41,
Franklin,"94,333","111,525","91,346",115265,75,18.2,-18.1,26.2,13,
Frontier,"94,057","114,942","119,219",132711,71,22.2,3.7,11.3,39,
Furnas,"270,065","305,727","289,914",336094,51,13.2,-5.2,15.9,28,
Gage,"956,451","1,100,723","1,107,071",1151648,16,15.1,0.6,4.0,72,
Garden,"75,651","73,950","72,237",77513,82,-2.2,-2.3,7.3,55,
Garfield,"86,109","78,892","73,812",87380,80,-8.4,-6.4,18.4,23,
Gosper,"81,675","102,437","96,820",112057,76,25.4,-5.5,15.7,29,
Grant,"28,148","25,004","20,725",30885,90,-11.2,-17.1,49.0,4,
Greeley,"103,980","121,005","105,863",133892,70,16.4,-12.5,26.5,11,
Hall,"3,471,688","3,849,135","3,869,376",3988044,4,10.9,0.5,3.1,76,
Hamilton,"647,721","734,685","674,578",716614,27,13.4,-8.2,6.2,59,
Harlan,"172,571","182,056","157,785",196595,65,5.5,-13.3,24.6,16,
Hayes,"93,441","88,816","84,141",87710,79,-4.9,-5.3,4.2,69,
Hitchcock,"135,064","166,491","177,311",176749,69,23.3,6.5,-0.3,85,
Holt,"663,393","689,170","639,226",680966,28,3.9,-7.2,6.5,57,
Hooker,"27,984","27,147","28,279",30364,91,-3.0,4.2,7.4,53,
Howard,"222,796","231,949","212,768",236808,62,4.1,-8.3,11.3,40,
Jefferson,"443,075","485,756","448,725",469343,38,9.6,-7.6,4.6,66,
Johnson,"178,665","196,561","200,742",204420,64,10.0,2.1,1.8,82,
Kearney,"335,926","365,766","352,631",412674,44,8.9,-3.6,17.0,25,
Keith,"393,267","410,011","389,055",406061,46,4.3,-5.1,4.4,67,
Keya Paha,"36,972","29,003","30,072",33771,86,-21.6,3.7,12.3,35,
Kimball,"171,311","174,913","201,959",193315,66,2.1,15.5,-4.3,90,
Knox,"489,767","662,837","648,349",666307,29,35.3,-2.2,2.8,79,
Lancaster,"19,461,981","20,314,187","21,279,195",21955532,2,4.4,4.8,3.2,75,
Lincoln,"2,135,409","2,250,074","2,268,683",2457678,7,5.4,0.8,8.3,47,
Logan,"31,337","27,428","25,037",33752,87,-12.5,-8.7,34.8,7,
Loup,"32,285","27,386","24,230",36037,85,-15.2,-11.5,48.7,5,
McPherson,"26,614","18,216","17,068",28502,92,-31.6,-6.3,67.0,2,
Madison,"2,360,985","2,465,813","2,407,911",2455983,8,4.4,-2.3,2.0,81,
Merrick,"362,369","394,812","368,467",410324,45,9.0,-6.7,11.4,38,
Morrill,"517,038","309,383","277,366",328848,54,-40.2,-10.3,18.6,22,
Nance,"115,527","159,842","147,207",186062,67,38.4,-7.9,26.4,12,
Nemaha,"598,365","694,145","707,049",794929,25,16.0,1.9,12.4,33,
Nuckolls,"233,980","283,695","268,130",331762,52,21.2,-5.5,23.7,17,
Otoe,"1,226,199","1,302,931","1,369,739",1308857,15,6.3,5.1,-4.4,91,
Pawnee,"110,114","131,732","121,379",130294,72,19.6,-7.9,7.3,54,
Perkins,"303,832","330,089","355,486",308570,59,8.6,7.7,-13.2,92,
Phelps,"787,135","824,443","760,076",836665,21,4.7,-7.8,10.1,45,
Pierce,"320,594","398,843","429,856",515750,34,24.4,7.8,20.0,21,
Platte,"2,616,099","2,895,175","2,812,351",2910897,6,10.7,-2.9,3.5,74,
Polk,"264,192","312,094","283,759",325996,55,18.1,-9.1,14.9,32,
Red Willow,"535,827","552,340","550,149",594981,32,3.1,-0.4,8.1,48,
Richardson,"353,270","417,450","368,183",372164,47,18.2,-11.8,1.1,84,
Rock,"93,298","83,002","74,271",93325,77,-11.0,-10.5,25.7,15,
Saline,"987,227","1,044,258","1,003,290",1031630,17,5.8,-3.9,2.8,78,
Sarpy,"9,233,837","9,923,998","9,750,278",10233381,3,7.5,-1.8,5.0,63,
Saunders,"738,715","815,575","764,057",832137,22,10.4,-6.3,8.9,46,
Scotts Bluff,"1,717,610","1,715,513","1,683,934",1762543,12,-0.1,-1.8,4.7,65,
Seward,"722,703","778,443","775,860",821696,23,7.7,-0.3,5.9,61,
Sheridan,"307,300","338,534","296,347",318938,58,10.2,-12.5,7.6,52,
Sherman,"105,351","126,836","109,872",128721,73,20.4,-13.4,17.2,24,
Sioux,"67,657","64,412","55,273",73906,83,-4.8,-14.2,33.7,8,
Stanton,"293,826","336,381","349,233",419877,43,14.5,3.8,20.2,20,
Thayer,"354,871","402,000","388,622",434411,40,13.3,-3.3,11.8,36,
Thomas,"32,702","30,854","30,423",33717,88,-5.7,-1.4,10.8,42,
Thurston,"406,572","433,114","429,673",521171,33,6.5,-0.8,21.3,19,
Valley,"286,777","291,658","274,774",304033,60,1.7,-5.8,10.6,43,
Washington,"1,268,325","1,446,084","1,394,853",1463457,14,14.0,-3.5,4.9,64,
Wayne,"462,927","516,500","596,188",627669,31,11.6,15.4,5.3,62,
Webster,"210,081","241,670","263,529",322433,57,15.0,9.0,22.4,18,
Wheeler,"85,167","80,752","61,700",90116,78,-5.2,-23.6,46.1,6,
York,"842,230","924,968","918,560",976164,18,9.8,-0.7,6.3,58,
,,,,,,,,,,
Nevada,"166,076,969","182,474,074","190,463,257",195405599,--,9.9,4.4,2.6,--,
Churchill,"1,151,928","1,201,371","1,165,325",1206361,10,4.3,-3.0,3.5,4,
Clark,"117,309,807","130,073,970","138,454,646",142816754,1,10.9,6.4,3.2,5,
Douglas,"2,494,110","2,857,349","2,800,168",2863058,4,14.6,-2.0,2.2,7,
Elko,"2,778,928","2,846,280","2,734,270",2707880,5,2.4,-3.9,-1.0,10,
Esmeralda,"38,918","43,972","38,246",40965,17,13.0,-13.0,7.1,1,
Eureka,"1,532,208","1,378,028","1,150,535",1064756,11,-10.1,-16.5,-7.5,15,
Humboldt,"1,426,512","1,427,609","1,315,367",1330770,9,0.1,-7.9,1.2,8,
Lander,"874,688","858,533","753,025",725875,12,-1.8,-12.3,-3.6,12,
Lincoln,"162,401","171,558","160,563",153422,16,5.6,-6.4,-4.4,13,
Lyon,"1,567,232","1,704,312","1,757,349",1762249,8,8.7,3.1,0.3,9,
Mineral,"227,179","238,194","218,618",202174,15,4.8,-8.2,-7.5,16,
Nye,"1,780,422","1,828,553","1,797,530",1904930,7,2.7,-1.7,6.0,2,
Pershing,"354,287","371,563","313,794",298294,14,4.9,-15.5,-4.9,14,
Storey,"2,059,969","2,373,335","2,223,342",1999430,6,15.2,-6.3,-10.1,17,
Washoe,"28,056,711","30,802,593","31,409,259",32124910,2,9.8,2.0,2.3,6,
White Pine,"744,443","717,531","631,502",613339,13,-3.6,-12.0,-2.9,11,
Carson City,"3,513,975","3,610,859","3,706,297",3836985,3,2.8,2.6,3.5,3,
,,,,,,,,,,
New Hampshire,"83,152,633","89,949,286","91,416,069",93466707,--,8.2,1.6,2.2,--,
Belknap,"2,885,681","3,020,884","3,007,222",3077600,7,4.7,-0.5,2.3,4,
Carroll,"2,290,195","2,319,090","2,399,437",2436876,8,1.3,3.5,1.6,6,
Cheshire,"3,854,320","4,115,869","4,010,089",4022553,6,6.8,-2.6,0.3,9,
Coos,"1,239,761","1,290,003","1,324,286",1363574,10,4.1,2.7,3.0,3,
Grafton,"6,759,043","7,251,501","7,442,166",7710924,4,7.3,2.6,3.6,2,
Hillsborough,"27,002,678","29,511,318","30,010,481",30476161,1,9.3,1.7,1.6,7,
Merrimack,"9,583,480","9,877,227","10,279,115",10392468,3,3.1,4.1,1.1,8,
Rockingham,"22,148,031","24,778,301","25,053,293",25975284,2,11.9,1.1,3.7,1,
Strafford,"5,804,394","6,169,206","6,324,475",6441921,5,6.3,2.5,1.9,5,
Sullivan,"1,589,052","1,631,962","1,582,113",1585384,9,2.7,-3.1,0.2,10,
,,,,,,,,,,
New Jersey,"597,221,366","632,463,307","650,235,772",663888540,--,5.9,2.8,2.1,--,
Atlantic,"13,034,081","14,137,139","14,560,232",15025707,14,8.5,3.0,3.2,5,
Bergen,"76,915,277","81,000,572","81,725,684",82441222,1,5.3,0.9,0.9,19,
Burlington,"28,523,101","30,333,157","30,974,309",31563624,10,6.3,2.1,1.9,13,
Camden,"24,233,549","25,684,909","26,202,573",26562641,11,6.0,2.0,1.4,18,
Cape May,"5,250,931","5,629,995","5,889,968",6149852,18,7.2,4.6,4.4,3,
Cumberland,"6,198,307","6,488,473","6,408,565",6438499,17,4.7,-1.2,0.5,20,
Essex,"51,350,699","54,871,967","57,545,859",58829083,4,6.9,4.9,2.2,10,
Gloucester,"13,782,582","14,291,647","13,978,841",14406711,15,3.7,-2.2,3.1,6,
Hudson,"45,359,789","48,176,672","50,598,894",51368280,5,6.2,5.0,1.5,17,
Hunterdon,"7,343,494","7,646,567","7,710,276",7850163,16,4.1,0.8,1.8,14,
Mercer,"37,995,013","41,473,491","43,671,876",44411940,7,9.2,5.3,1.7,16,
Middlesex,"61,942,329","66,703,297","68,075,537",69474434,2,7.7,2.1,2.1,11,
Monmouth,"36,353,784","39,030,346","40,491,850",41526595,8,7.4,3.7,2.6,8,
Morris,"54,823,099","58,105,208","59,985,292",60193319,3,6.0,3.2,0.3,21,
Ocean,"22,213,245","23,150,735","23,410,548",24123172,12,4.2,1.1,3.0,7,
Passaic,"20,487,215","21,758,277","21,634,043",22059977,13,6.2,-0.6,2.0,12,
Salem,"5,463,202","5,438,289","5,254,269",6088692,19,-0.5,-3.4,15.9,1,
Somerset,"40,206,398","41,881,861","44,050,380",45872054,6,4.2,5.2,4.1,4,
Sussex,"4,853,399","5,093,839","5,280,443",5375269,20,5.0,3.7,1.8,15,
Union,"37,021,179","37,551,387","38,680,235",39552133,9,1.4,3.0,2.3,9,
Warren,"3,870,315","4,027,478","4,256,896",4654374,21,4.1,5.7,9.3,2,
,,,,,,,,,,
New Mexico,"97,622,409","100,917,579","103,301,550",110323705,--,3.4,2.4,6.8,--,
Bernalillo,"37,616,720","39,612,592","41,035,876",41812954,1,5.3,3.6,1.9,23,
Catron,"90,713","92,199","109,118",111376,31,1.6,18.4,2.1,21,
Chaves,"2,068,154","2,038,777","2,091,881",2099721,12,-1.4,2.6,0.4,27,
Cibola,"635,821","605,445","595,813",628390,21,-4.8,-1.6,5.5,12,
Colfax,"440,312","447,314","438,455",470242,24,1.6,-2.0,7.2,9,
Curry,"3,114,987","3,099,644","3,233,381",3246156,8,-0.5,4.3,0.4,26,
De Baca,"79,002","75,740","72,365",85891,32,-4.1,-4.5,18.7,3,
Doña Ana,"7,464,061","7,978,043","8,139,926",8537154,2,6.9,2.0,4.9,15,
Eddy,"6,919,970","6,518,879","6,346,270",8060199,4,-5.8,-2.6,27.0,2,
Grant,"997,897","1,146,323","1,197,558",1173131,14,14.9,4.5,-2.0,29,
Guadalupe,"148,047","161,090","174,286",187534,28,8.8,8.2,7.6,7,
Harding,"46,043","42,434","41,763",36554,33,-7.8,-1.6,-12.5,32,
Hidalgo,"200,890","202,053","186,402",200238,27,0.6,-7.7,7.4,8,
Lea,"6,346,278","6,202,248","6,336,653",8531127,3,-2.3,2.2,34.6,1,
Lincoln,"683,444","641,113","643,864",670461,20,-6.2,0.4,4.1,16,
Los Alamos,"2,382,196","2,533,462","2,757,222",3085463,9,6.3,8.8,11.9,5,
Luna,"857,059","859,213","859,936",904129,17,0.3,0.1,5.1,14,
McKinley,"2,436,459","2,279,213","2,214,002",2275793,11,-6.5,-2.9,2.8,18,
Mora,"101,224","105,492","96,009",113386,30,4.2,-9.0,18.1,4,
Otero,"2,781,560","2,859,523","2,908,504",2901741,10,2.8,1.7,-0.2,28,
Quay,"287,003","289,827","296,604",283466,26,1.0,2.3,-4.4,30,
Rio Arriba,"1,007,174","1,025,639","1,001,361",1027897,16,1.8,-2.4,2.7,19,
Roosevelt,"644,544","664,359","719,376",682041,19,3.1,8.3,-5.2,31,
Sandoval,"3,704,152","3,899,020","4,179,572",4401759,7,5.3,7.2,5.3,13,
San Juan,"5,215,071","5,232,665","5,261,890",5389548,6,0.3,0.6,2.4,20,
San Miguel,"625,630","658,388","656,660",693123,18,5.2,-0.3,5.6,11,
Santa Fe,"6,715,262","7,351,004","7,389,917",7512205,5,9.5,0.5,1.7,24,
Sierra,"306,826","315,155","310,361",311965,25,2.7,-1.5,0.5,25,
Socorro,"478,982","484,267","503,018",521423,23,1.1,3.9,3.7,17,
Taos,"924,372","1,022,065","1,055,239",1076474,15,10.6,3.2,2.0,22,
Torrance,"425,559","498,570","549,473",595372,22,17.2,10.2,8.4,6,
Union,"161,452","159,417","157,214",128861,29,-1.3,-1.4,-18.0,33,
Valencia,"1,583,563","1,643,469","1,680,553",1784303,13,3.8,2.3,6.2,10,
,,,,,,,,,,
New York,"1,656,784,776","1,736,222,260","1,765,102,098",1791210722,--,4.8,1.7,1.5,--,
Albany,"32,422,270","34,822,644","34,859,145",35778797,10,7.4,0.1,2.6,13,
Allegany,"1,510,255","1,462,788","1,418,232",1431876,56,-3.1,-3.0,1.0,33,
Bronx,"42,885,562","43,376,636","43,473,177",44029337,9,1.1,0.2,1.3,29,
Broome,"8,769,608","9,064,910","8,917,274",9026669,21,3.4,-1.6,1.2,32,
Cattaraugus,"2,679,798","2,775,867","2,801,326",2824181,37,3.6,0.9,0.8,34,
Cayuga,"2,873,276","2,951,588","3,025,693",3020680,36,2.7,2.5,-0.2,49,
Chautauqua,"4,432,141","4,581,532","4,715,617",4804944,29,3.4,2.9,1.9,21,
Chemung,"3,532,357","3,643,263","3,618,249",3622588,34,3.1,-0.7,0.1,45,
Chenango,"2,164,003","2,121,904","2,232,670",2299265,43,-1.9,5.2,3.0,12,
Clinton,"3,529,921","3,579,092","3,630,304",3699091,33,1.4,1.4,1.9,20,
Columbia,"2,520,107","2,640,804","2,614,528",2630069,39,4.8,-1.0,0.6,39,
Cortland,"1,745,913","1,766,603","1,787,650",1787841,50,1.2,1.2,0.0,47,
Delaware,"1,989,136","2,118,439","2,204,341",2298982,44,6.5,4.1,4.3,3,
Dutchess,"13,699,276","14,659,656","14,946,961",14979887,15,7.0,2.0,0.2,43,
Erie,"57,567,114","60,152,202","60,960,052",62943074,7,4.5,1.3,3.3,9,
Essex,"1,594,042","1,687,911","1,668,220",1698579,53,5.9,-1.2,1.8,22,
Franklin,"1,853,672","1,931,595","2,005,311",2072656,46,4.2,3.8,3.4,6,
Fulton,"1,835,506","1,825,249","1,846,588",1858160,49,-0.6,1.2,0.6,38,
Genesee,"2,349,279","2,398,835","2,477,867",2559396,40,2.1,3.3,3.3,8,
Greene,"2,322,652","2,435,867","2,722,244",2474797,41,4.9,11.8,-9.1,62,
Hamilton,"231,473","228,926","230,178",235759,62,-1.1,0.5,2.4,17,
Herkimer,"1,790,812","1,757,804","1,724,096",1715790,52,-1.8,-1.9,-0.5,51,
Jefferson,"6,203,153","6,382,491","6,402,269",6434562,25,2.9,0.3,0.5,41,
Kings,"100,243,398","103,464,185","106,679,186",110580419,2,3.2,3.1,3.7,5,
Lewis,"1,060,556","1,102,468","1,188,916",1219155,58,4.0,7.8,2.5,14,
Livingston,"2,081,728","2,144,900","2,227,157",2266955,45,3.0,3.8,1.8,23,
Madison,"2,250,916","2,263,709","2,370,586",2430639,42,0.6,4.7,2.5,15,
Monroe,"46,566,312","48,722,466","48,794,360",48916577,8,4.6,0.1,0.3,42,
Montgomery,"1,859,475","1,896,805","1,960,543",1963503,47,2.0,3.4,0.2,44,
Nassau,"98,512,007","101,521,745","101,049,698",100089673,5,3.1,-0.5,-1.0,55,
New York,"722,690,958","769,895,229","787,290,015",797092203,1,6.5,2.3,1.2,31,
Niagara,"9,741,615","9,792,823","9,982,122",9964309,19,0.5,1.9,-0.2,50,
Oneida,"10,911,995","11,030,994","11,196,069",11543357,17,1.1,1.5,3.1,11,
Onondaga,"31,149,329","32,036,361","31,847,482",32093789,11,2.8,-0.6,0.8,35,
Ontario,"6,199,467","6,439,260","6,402,666",6448569,24,3.9,-0.6,0.7,36,
Orange,"19,670,062","20,299,960","20,416,933",20713168,12,3.2,0.6,1.5,25,
Orleans,"1,365,555","1,425,680","1,385,413",1374839,57,4.4,-2.8,-0.8,53,
Oswego,"6,703,130","6,808,450","6,686,726",6694685,23,1.6,-1.8,0.1,46,
Otsego,"2,601,892","2,630,428","2,602,087",2638483,38,1.1,-1.1,1.4,28,
Putnam,"3,722,875","3,931,977","3,919,091",4048136,31,5.6,-0.3,3.3,7,
Queens,"96,199,098","99,511,556","103,887,529",107263194,3,3.4,4.4,3.2,10,
Rensselaer,"9,515,839","10,725,386","10,861,811",11376791,18,12.7,1.3,4.7,2,
Richmond,"16,683,808","17,066,148","17,336,018",17638277,14,2.3,1.6,1.7,24,
Rockland,"17,202,457","18,610,697","18,262,740",18494167,13,8.2,-1.9,1.3,30,
St. Lawrence,"4,688,000","4,691,239","4,813,177",4847243,28,0.1,2.6,0.7,37,
Saratoga,"11,490,512","12,130,726","12,194,829",11999733,16,5.6,0.5,-1.6,56,
Schenectady,"8,253,534","9,028,724","8,800,496",9242724,20,9.4,-2.5,5.0,1,
Schoharie,"979,244","974,983","1,001,988",1007395,60,-0.4,2.8,0.5,40,
Schuyler,"530,420","509,129","530,723",538245,61,-4.0,4.2,1.4,27,
Seneca,"1,436,778","1,554,928","1,547,920",1539323,54,8.2,-0.5,-0.6,52,
Steuben,"4,413,154","4,481,879","4,761,545",4723931,30,1.6,6.2,-0.8,54,
Suffolk,"99,970,686","103,985,519","104,240,237",105751656,4,4.0,0.2,1.4,26,
Sullivan,"3,009,503","3,161,676","3,263,727",3341222,35,5.1,3.2,2.4,18,
Tioga,"1,557,084","1,489,912","1,502,568",1450217,55,-4.3,0.8,-3.5,60,
Tompkins,"5,791,732","6,017,590","6,142,342",6140288,26,3.9,2.1,0.0,48,
Ulster,"7,271,561","7,539,426","7,767,217",7959618,22,3.7,3.0,2.5,16,
Warren,"5,277,481","5,519,429","4,884,827",5068240,27,4.6,-11.5,3.8,4,
Washington,"1,954,199","2,031,707","1,999,553",1949798,48,4.0,-1.6,-2.5,58,
Wayne,"3,798,711","3,847,356","3,929,160",3806726,32,1.3,2.1,-3.1,59,
Westchester,"86,271,879","86,859,767","88,513,165",90241804,6,0.7,1.9,2.0,19,
Wyoming,"1,732,557","1,813,993","1,823,835",1760078,51,4.7,0.5,-3.5,61,
Yates,"947,435","1,059,342","1,033,402",1012691,59,11.8,-2.4,-2.0,57,
,,,,,,,,,,
North Carolina,"564,504,431","600,217,252","619,537,198",638067296,--,6.3,3.2,3.0,--,
Alamance,"6,301,602","6,707,229","6,698,108",6882150,18,6.4,-0.1,2.7,36,
Alexander,"805,506","856,242","912,217",864265,72,6.3,6.5,-5.3,88,
Alleghany,"295,493","306,767","308,344",300617,90,3.8,0.5,-2.5,84,
Anson,"720,070","772,555","868,908",815053,75,7.3,12.5,-6.2,94,
Ashe,"765,753","768,808","785,656",788125,76,0.4,2.2,0.3,64,
Avery,"608,081","632,304","639,050",646791,78,4.0,1.1,1.2,53,
Beaufort,"1,768,301","1,815,292","1,786,481",1797424,53,2.7,-1.6,0.6,62,
Bertie,"591,505","633,868","649,781",596539,81,7.2,2.5,-8.2,97,
Bladen,"1,338,777","1,403,707","1,503,675",1416967,62,4.8,7.1,-5.8,91,
Brunswick,"5,307,904","5,518,287","5,724,177",5973641,19,4.0,3.7,4.4,12,
Buncombe,"13,843,747","14,959,492","15,528,361",16035112,7,8.1,3.8,3.3,27,
Burke,"2,526,394","2,627,943","2,752,294",2742837,37,4.0,4.7,-0.3,69,
Cabarrus,"7,865,318","8,456,565","8,745,398",9111043,15,7.5,3.4,4.2,15,
Caldwell,"2,440,942","2,413,265","2,430,917",2431360,42,-1.1,0.7,0.0,67,
Camden,"155,689","177,370","169,572",182171,98,13.9,-4.4,7.4,2,
Carteret,"2,361,010","2,518,422","2,614,911",2733205,38,6.7,3.8,4.5,10,
Caswell,"340,586","344,142","338,403",354490,88,1.0,-1.7,4.8,6,
Catawba,"8,661,089","9,195,724","9,406,992",9276616,14,6.2,2.3,-1.4,75,
Chatham,"1,790,750","1,840,934","1,991,041",2039527,47,2.8,8.2,2.4,38,
Cherokee,"799,606","805,708","836,943",843153,74,0.8,3.9,0.7,60,
Chowan,"493,461","530,780","544,837",565377,82,7.6,2.6,3.8,21,
Clay,"215,344","215,338","227,335",230914,94,0.0,5.6,1.6,45,
Cleveland,"4,148,057","4,289,778","4,481,089",4488187,26,3.4,4.5,0.2,65,
Columbus,"1,457,563","1,504,437","1,510,023",1473977,60,3.2,0.4,-2.4,82,
Craven,"4,888,808","5,094,227","5,037,409",5189264,23,4.2,-1.1,3.0,31,
Cumberland,"17,470,306","18,301,493","18,229,373",18471055,6,4.8,-0.4,1.3,50,
Currituck,"751,718","828,305","851,081",876170,71,10.2,2.7,2.9,32,
Dare,"2,166,876","2,452,270","2,418,278",2454965,40,13.2,-1.4,1.5,47,
Davidson,"4,775,395","4,997,112","5,167,150",5267327,22,4.6,3.4,1.9,44,
Davie,"1,363,332","1,434,456","1,417,641",1411959,63,5.2,-1.2,-0.4,70,
Duplin,"1,926,389","2,111,051","2,334,062",2114639,44,9.6,10.6,-9.4,98,
Durham,"36,075,554","39,001,023","40,172,785",41632015,3,8.1,3.0,3.6,22,
Edgecombe,"1,489,815","1,578,158","1,588,313",1574366,59,5.9,0.6,-0.9,72,
Forsyth,"24,591,902","26,248,383","26,912,034",27325022,5,6.7,2.5,1.5,46,
Franklin,"1,854,786","1,938,536","1,971,357",2067922,45,4.5,1.7,4.9,5,
Gaston,"7,430,224","7,948,657","8,272,665",8460497,16,7.0,4.1,2.3,41,
Gates,"201,635","200,968","193,167",182752,97,-0.3,-3.9,-5.4,89,
Graham,"237,608","240,484","226,036",228900,95,1.2,-6.0,1.3,52,
Granville,"3,416,966","3,492,498","3,595,133",3740739,31,2.2,2.9,4.1,18,
Greene,"394,740","445,562","468,330",433348,86,12.9,5.1,-7.5,96,
Guilford,"32,685,016","34,062,034","35,100,319",35469980,4,4.2,3.0,1.1,56,
Halifax,"1,399,528","1,438,246","1,424,958",1409905,64,2.8,-0.9,-1.1,74,
Harnett,"2,587,284","2,737,998","2,786,504",2883434,33,5.8,1.8,3.5,25,
Haywood,"1,896,151","1,938,685","1,935,206",1951424,49,2.2,-0.2,0.8,58,
Henderson,"4,062,516","4,266,608","4,449,131",4587431,25,5.0,4.3,3.1,29,
Hertford,"808,078","831,642","827,094",846174,73,2.9,-0.5,2.3,40,
Hoke,"1,146,873","1,130,123","1,217,771",1233844,66,-1.5,7.8,1.3,51,
Hyde,"168,824","174,289","179,969",168469,99,3.2,3.3,-6.4,95,
Iredell,"9,641,894","10,495,514","10,650,121",10764429,9,8.9,1.5,1.1,55,
Jackson,"1,538,353","1,629,345","1,661,609",1629465,58,5.9,2.0,-1.9,78,
Johnston,"7,281,528","7,615,606","7,975,694",8331629,17,4.6,4.7,4.5,11,
Jones,"156,778","217,958","250,725",209873,96,39.0,15.0,-16.3,100,
